,id, name, rating, position, height, foot, rare, pace, shooting, passing, dribbling, defending, heading, diving, handling, kicking, reflexes, speed, positioning
25,100798, James O'Connor,63, M,173, Right,0, 61, 53, 61, 60, 68, 70, , , , , ,
26,100803, Karl Henry,71, M,185, Right,0, 55, 57, 71, 71, 73, 64, , , , , ,
27,100804, Gareth Owen,62, D,185, Left,0, 61, 19, 48, 46, 65, 67, , , , , ,
28,100806, Kris Commons,75, M,168, Left,0, 79, 74, 73, 80, 48, 60, , , , , ,
29,100807, Stefanos Kotsolis,65, GK,190, Right,0, , , , , , , 62, 68, 62, 65, 60,64.0
30,100889, Louis Carey,67, D,178, Right,0, 45, 31, 45, 38, 69, 78, , , , , ,
31,100899, Steve Phillips,61, GK,185, Right,1, , , , , , , 46, 65, 76, 71, 31,61.0
32,100907, Danny Coles,62, D,185, Right,0, 70, 32, 33, 35, 66, 67, , , , , ,
33,100932, Sotirios Kyrgiakos,76, D,193, Right,1, 41, 42, 46, 38, 80, 80, , , , , ,
34,100954, Monsef Zerka,63, M,183, Right,0, 69, 60, 59, 64, 53, 63, , , , , ,
35,100964, Romain Poyet,72, A,184, Right,1, 68, 70, 70, 73, 56, 74, , , , , ,
36,100987, David Hellebuyck,72, M,178, Left,1, 60, 79, 74, 73, 62, 69, , , , , ,
37,101160, Nicoló Consolini,63, D,180, Right,0, 71, 47, 60, 57, 63, 58, , , , , ,
38,101225, Neca,73, M,177, Right,1, 64, 70, 72, 74, 57, 63, , , , , ,
39,101282, Oka Nikolov,70, GK,188, Right,0, , , , , , , 72, 64, 59, 73, 61,73.0
40,101286, Rolf-Christel Guié-Mien,64, M,177, Right,1, 65, 52, 58, 71, 45, 55, , , , , ,
41,101317, Michael Ratajczak,65, GK,187, Right,0, , , , , , , 62, 63, 59, 69, 55,66.0
42,10133, Ivan Klasnić,75, A,186, Left,0, 60, 75, 58, 72, 56, 74, , , , , ,
43,101336, Clemens Fritz,74, D,183, Right,1, 79, 62, 73, 73, 72, 71, , , , , ,
44,101344, Otto Fredrikson,70, GK,189, Right,0, , , , , , , 69, 71, 66, 70, 50,75.0
45,101378, Cacau,78, A,179, Right,0, 79, 77, 62, 80, 54, 77, , , , , ,
46,101411, Sascha Kirschstein,66, GK,196, Right,0, , , , , , , 67, 64, 62, 70, 41,64.0
47,101473, Tomasz Kuszczak,75, GK,190, Right,0, , , , , , , 78, 72, 62, 81, 50,73.0
48,101482, Timo Ochs,67, GK,189, Right,0, , , , , , , 69, 66, 54, 72, 49,64.0
49,101488, Daniel Haas,71, GK,188, Right,1, , , , , , , 72, 71, 66, 76, 45,68.0
50,101490, Conor Casey,70, A,188, Right,1, 57, 66, 38, 67, 63, 86, , , , , ,
51,101496, Mathias Abel,69, D,188, Right,0, 54, 40, 54, 48, 73, 73, , , , , ,
52,101590, Giuseppe Greco,65, A,182, Left,0, 72, 62, 49, 61, 55, 63, , , , , ,
53,101652, Peter Schyrba,61, D,185, Right,0, 65, 45, 52, 53, 67, 65, , , , , ,
54,101658, Carsten Rothenbach,68, D,184, Right,0, 67, 54, 68, 61, 70, 70, , , , , ,
55,101689, Antônio da Silva,73, M,178, Left,1, 48, 70, 78, 75, 58, 53, , , , , ,
56,101749, Jens Langeneke,69, D,185, Right,0, 51, 41, 51, 41, 73, 60, , , , , ,
57,101803, Goran Šukalo,67, M,193, Right,0, 56, 60, 64, 59, 73, 74, , , , , ,
58,10183, David McCracken,60, D,188, Left,0, 55, 32, 49, 44, 65, 54, , , , , ,
59,101868, Andreas Görlitz,67, D,179, Right,0, 68, 58, 66, 68, 67, 64, , , , , ,
60,101875, Markus Miller,71, GK,189, Right,0, , , , , , , 74, 67, 60, 74, 45,72.0
61,101880, Robert Green,78, GK,188, Right,0, , , , , , , 81, 73, 78, 84, 50,74.0
62,101882, Adam Drury,65, D,180, Left,0, 53, 35, 60, 65, 69, 65, , , , , ,
63,101891, Darel Russell,63, M,178, Right,0, 61, 50, 61, 62, 64, 63, , , , , ,
64,101934, Dexter Langen,61, M,186, Right,0, 69, 53, 58, 62, 65, 56, , , , , ,
65,101997, David Lucas,61, GK,188, Left,0, , , , , , , 57, 60, 64, 66, 54,60.0
66,101999, Graham Alexander,64, M,180, Right,1, 58, 62, 65, 57, 67, 68, , , , , ,
67,102001, Rob Edwards,65, D,185, Right,0, 65, 34, 42, 27, 70, 70, , , , , ,
68,102021, Filip Trojan,68, M,172, Left,0, 74, 61, 63, 71, 58, 67, , , , , ,
69,102056, Simone Padoin,73, M,179, Right,1, 79, 65, 73, 71, 64, 61, , , , , ,
70,102064, Claudio Terzi,68, D,180, Right,0, 60, 46, 50, 47, 68, 69, , , , , ,
71,102081, Marco Pisano,63, D,174, Left,0, 65, 47, 58, 53, 64, 65, , , , , ,
72,102084, Luca Belingheri,67, M,183, Right,0, 73, 60, 66, 66, 62, 61, , , , , ,
73,102088, Stefano Morrone,74, M,178, Right,0, 61, 61, 71, 71, 72, 60, , , , , ,
74,102129, Petri Pasanen,73, D,187, Right,1, 57, 58, 61, 45, 74, 76, , , , , ,
75,102133, Stefan Leitl,68, A,178, Right,0, 70, 68, 64, 69, 57, 57, , , , , ,
76,102293, Ranisav Jovanović,60, A,193, Left,1, 69, 59, 48, 56, 54, 59, , , , , ,
77,102356, Markus Feulner,73, M,181, Right,1, 68, 67, 74, 72, 67, 69, , , , , ,
78,102359, Zvjezdan Misimović,81, M,180, Right,1, 62, 78, 82, 80, 51, 59, , , , , ,
79,102362, Ivica Grlić,64, M,187, Right,1, 44, 70, 69, 68, 57, 45, , , , , ,
80,102409, Florian Heller,67, A,179, Right,0, 68, 63, 69, 73, 66, 69, , , , , ,
81,102587, Matt Hill,61, D,173, Left,0, 54, 34, 49, 43, 66, 61, , , , , ,
82,102593, Craig Woodman,62, D,175, Left,0, 57, 28, 54, 42, 61, 59, , , , , ,
83,10264, Ruud van Nistelrooy,80, A,188, Right,0, 55, 78, 64, 73, 59, 70, , , , , ,
84,103133, Seol Ki Hyeon,69, A,187, Right,1, 81, 67, 64, 74, 58, 69, , , , , ,
85,103307, John Oster,67, M,175, Right,0, 72, 57, 68, 69, 63, 60, , , , , ,
86,103496, Andrea Cossu,80, M,171, Right,1, 80, 69, 81, 84, 50, 47, , , , , ,
87,103578, Marcin Malinowski,57, M,179, Right,0, 53, 57, 43, 45, 63, 58, , , , , ,
88,103581, Alan Dunne,63, D,180, Right,0, 69, 52, 61, 58, 66, 58, , , , , ,
89,103582, Mark Phillips,58, D,188, Right,0, 56, 33, 40, 43, 63, 69, , , , , ,
90,103585, Ben May,56, A,185, Left,0, 43, 56, 40, 46, 45, 64, , , , , ,
91,103591, Gerald Sibon,66, A,196, Right,1, 28, 70, 65, 54, 59, 57, , , , , ,
92,103735, Nicolas Timmermans,59, D,183, Right,0, 66, 49, 55, 55, 62, 64, , , , , ,
93,103933, Jürgen Säumel,70, M,184, Left,0, 73, 59, 69, 65, 72, 67, , , , , ,
94,103935, Alberto Aquilani,81, M,186, Right,1, 65, 75, 84, 81, 67, 62, , , , , ,
95,103936, Simone Pepe,78, M,178, Right,0, 84, 75, 76, 76, 66, 64, , , , , ,
96,103996, Mahamet Diagouraga,65, D,188, Right,0, 71, 43, 42, 35, 73, 67, , , , , ,
97,1040, Roberto Carlos,79, M,168, Left,1, 78, 75, 80, 76, 80, 70, , , , , ,
98,104047, Sergio Bernardo Almirón,75, M,176, Right,0, 50, 71, 79, 66, 68, 56, , , , , ,
99,104088, Philipp Bönig,67, D,178, Left,0, 68, 48, 64, 57, 68, 68, , , , , ,
100,1041, Javier Zanetti,82, M,178, Right,1, 63, 59, 80, 79, 80, 57, , , , , ,
101,104100, Marius Ebbers,68, A,192, Right,0, 59, 65, 53, 62, 61, 74, , , , , ,
102,104101, Benjamin Köhler,71, M,172, Left,0, 76, 65, 67, 74, 53, 75, , , , , ,
103,104296, Liam Miller,66, M,170, Right,0, 59, 60, 67, 69, 55, 59, , , , , ,
104,104389, Rune Almenning Jarstein,68, GK,190, Right,0, , , , , , , 74, 62, 75, 77, 40,62.0
105,104442, Chris Burke,73, M,175, Right,1, 80, 68, 70, 76, 53, 52, , , , , ,
106,104472, Trond Erik Bertelsen,64, D,174, Left,1, 75, 57, 62, 60, 66, 65, , , , , ,
107,104476, Christian Grindheim,73, M,179, Right,0, 70, 69, 71, 68, 68, 68, , , , , ,
108,1046, Jérôme Rothen,72, M,177, Left,1, 58, 70, 75, 71, 54, 44, , , , , ,
109,10468, Benjamin Kibebe,61, D,187, Right,0, 57, 43, 47, 46, 68, 72, , , , , ,
110,104702, Daniel Braaten,73, M,184, Right,1, 80, 70, 69, 80, 66, 62, , , , , ,
111,104732, David Prutton,64, M,185, Right,1, 55, 65, 65, 53, 63, 60, , , , , ,
112,104733, Jack Lester,64, A,175, Right,0, 56, 62, 36, 58, 50, 71, , , , , ,
113,104737, Barry Roche,62, GK,193, Right,0, , , , , , , 61, 64, 57, 65, 60,60.0
114,10475, Frédéric Page,57, D,185, Right,0, 50, 49, 54, 51, 60, 57, , , , , ,
115,105113, Sven Müller,63, M,191, Right,0, 72, 60, 62, 56, 67, 63, , , , , ,
116,105308, Jean Francois Gillet,77, GK,181, Left,0, , , , , , , 75, 73, 74, 80, 60,76.0
117,105314, Lionel Pizzinat,55, M,183, Right,0, 49, 55, 52, 58, 55, 54, , , , , ,
118,105318, Jaime Valdés,76, M,176, Right,0, 76, 75, 73, 77, 54, 46, , , , , ,
119,105327, Richarlyson,74, M,176, Left,0, 77, 69, 68, 75, 71, 65, , , , , ,
120,105330, Gaetano D'Agostino,75, M,182, Left,0, 67, 71, 79, 70, 68, 57, , , , , ,
121,105338, Moris Carrozzieri,72, D,192, Right,1, 33, 41, 49, 26, 81, 65, , , , , ,
122,105342, Patrick Owomoyela,73, D,187, Right,1, 63, 55, 72, 71, 75, 83, , , , , ,
123,10535, Xavi,92, M,170, Right,1, 67, 72, 92, 85, 68, 53, , , , , ,
124,105430, Grétar Steinsson,75, D,189, Right,0, 55, 52, 74, 60, 77, 73, , , , , ,
125,105454, Zoran Tošić,77, M,171, Left,1, 91, 75, 72, 85, 40, 57, , , , , ,
126,105466, Daniele Martinelli,63, D,181, Right,0, 61, 46, 58, 52, 63, 62, , , , , ,
127,105471, François-Joseph Modesto,70, M,183, Right,0, 63, 50, 63, 60, 75, 70, , , , , ,
128,105474, Daniele Conti,76, M,178, Right,0, 53, 71, 80, 71, 72, 64, , , , , ,
129,105477, David Suazo,76, A,182, Right,1, 91, 76, 56, 65, 58, 71, , , , , ,
130,105530, Aleksandar Vuković,65, M,186, Right,0, 49, 56, 64, 54, 69, 59, , , , , ,
131,105533, Łukasz Załuska,69, GK,191, Right,0, , , , , , , 67, 68, 66, 72, 45,68.0
132,105558, Alexander Iashvili,68, A,175, Left,0, 75, 66, 64, 75, 42, 54, , , , , ,
133,105663, Dennis Kruppke,66, M,179, Right,0, 71, 67, 60, 63, 59, 70, , , , , ,
134,105748, Lars Jungnickel,65, D,180, Right,0, 74, 50, 57, 51, 66, 71, , , , , ,
135,105803, Gurpegi,75, M,181, Right,0, 65, 54, 67, 62, 79, 82, , , , , ,
136,10584, Luciano Zauri,72, D,178, Right,0, 54, 58, 70, 67, 74, 66, , , , , ,
137,105846, Artur Boruc,78, GK,193, Right,0, , , , , , , 77, 77, 69, 79, 41,77.0
138,105865, Tomasz Kiełbowicz,64, D,179, Left,1, 63, 52, 72, 53, 64, 52, , , , , ,
139,105866, Cesare Bovo,78, D,181, Right,0, 65, 61, 64, 54, 78, 77, , , , , ,
140,105945, Karel Geraerts,67, M,186, Right,0, 60, 65, 65, 55, 71, 69, , , , , ,
141,106019, Adriano,77, A,190, Left,0, 62, 80, 52, 71, 59, 67, , , , , ,
142,106036, Dennis Eilhoff,69, GK,190, Right,0, , , , , , , 74, 66, 63, 75, 49,64.0
143,106112, Julien François,66, M,192, Left,0, 51, 52, 64, 55, 68, 67, , , , , ,
144,106134, Andrew Frampton,63, D,185, Left,1, 50, 43, 66, 50, 67, 68, , , , , ,
145,106202, Marek Saganowski,63, A,178, Right,1, 67, 63, 41, 60, 61, 69, , , , , ,
146,106213, Iraola,79, D,182, Right,0, 82, 69, 78, 75, 79, 63, , , , , ,
147,106222, Arriaga,59, A,171, Right,0, 69, 58, 50, 63, 40, 51, , , , , ,
148,106231, Aduriz,79, A,182, Right,1, 72, 75, 62, 75, 60, 91, , , , , ,
149,106436, Łukasz Surma,60, M,173, Right,0, 59, 46, 58, 56, 63, 62, , , , , ,
150,106510, Dickson Choto,68, D,192, Right,1, 54, 32, 54, 45, 77, 56, , , , , ,
151,106539, Gabri,68, M,175, Right,0, 66, 60, 68, 66, 67, 67, , , , , ,
152,106560, Grégory Pujol,77, A,183, Right,0, 62, 76, 70, 74, 63, 81, , , , , ,
153,106573, Valdés,85, GK,183, Right,1, , , , , , , 83, 81, 78, 84, 60,91.0
154,106582, Dani Tortolero,63, D,184, Right,0, 52, 48, 53, 49, 66, 63, , , , , ,
155,106710, Giacomo Tedesco,67, M,176, Left,0, 59, 63, 72, 66, 65, 57, , , , , ,
156,106795, Gianluca Pegolo,62, GK,183, Left,1, , , , , , , 57, 68, 58, 66, 47,60.0
157,106850, Mirko Vučinić,81, A,186, Right,1, 82, 80, 70, 84, 60, 71, , , , , ,
158,106868, Alberto Comazzi,61, D,178, Right,0, 52, 37, 58, 39, 63, 73, , , , , ,
159,106874, Davide Brivio,70, D,185, Left,0, 66, 50, 67, 61, 74, 62, , , , , ,
160,107078, Max von Schlebrügge,70, D,188, Left,0, 54, 56, 50, 43, 70, 67, , , , , ,
161,107084, Michael Langer,65, GK,193, Right,0, , , , , , , 64, 65, 58, 69, 51,65.0
162,107103, Marc Ziegler,72, GK,193, Right,1, , , , , , , 73, 69, 73, 70, 27,74.0
163,107263, Fahid Ben Khalfallah,71, M,170, Right,0, 76, 62, 69, 74, 49, 50, , , , , ,
164,107280, Benjamin Genton,66, D,188, Right,0, 41, 32, 60, 39, 68, 72, , , , , ,
165,107298, Yohann Pelé,75, GK,196, Right,0, , , , , , , 76, 73, 70, 83, 51,71.0
166,107305, Mickaël Tacalfred,64, D,175, Right,0, 64, 55, 63, 60, 66, 68, , , , , ,
167,107320, Johan Audel,73, M,180, Left,1, 76, 67, 68, 76, 55, 61, , , , , ,
168,107494, Andrea Campagnolo,71, GK,184, Right,1, , , , , , , 70, 70, 65, 72, 51,74.0
169,1075, Alessandro Del Piero,80, A,173, Right,1, 56, 79, 82, 84, 50, 43, , , , , ,
170,107528, John Mensah,76, D,180, Right,0, 61, 43, 56, 29, 78, 77, , , , , ,
171,107579, Federico Agliardi,66, GK,190, Right,0, , , , , , , 65, 63, 55, 70, 50,67.0
172,107634, René Renno,60, GK,186, Right,0, , , , , , , 66, 60, 63, 51, 30,64.0
173,10764, Juanfran,71, D,182, Left,0, 70, 52, 67, 63, 75, 64, , , , , ,
174,107647, Hamit Altintop,76, M,183, Right,0, 74, 78, 77, 74, 73, 67, , , , , ,
175,107713, Tom Starke,76, GK,195, Right,0, , , , , , , 78, 77, 68, 78, 52,74.0
176,107715, Lúcio,85, D,188, Right,1, 76, 61, 61, 66, 85, 83, , , , , ,
177,107758, Markus Thorandt,68, D,187, Right,0, 67, 44, 59, 49, 70, 71, , , , , ,
178,107794, Markus Bollmann,64, D,190, Right,0, 54, 30, 44, 41, 68, 73, , , , , ,
179,107796, Markus Krösche,65, M,180, Right,0, 61, 49, 48, 46, 70, 73, , , , , ,
180,10780, César Navas,75, D,194, Right,1, 67, 42, 57, 43, 77, 74, , , , , ,
181,107901, Collin Benjamin,68, M,182, Right,0, 68, 61, 71, 70, 68, 66, , , , , ,
182,107904, Deniz Dogan,66, D,182, Left,0, 66, 52, 41, 39, 69, 72, , , , , ,
183,108061, Reto Ziegler,78, D,183, Left,0, 76, 70, 76, 75, 73, 69, , , , , ,
184,108075, Eduardo,69, A,178, Right,0, 76, 68, 63, 71, 45, 66, , , , , ,
185,108080, Stephan Lichtsteiner,79, D,183, Right,0, 79, 58, 74, 71, 79, 73, , , , , ,
186,10824, Patrick Mtiliga,69, D,171, Left,1, 86, 58, 57, 64, 67, 65, , , , , ,
187,108583, Kris De Wree,64, D,185, Right,0, 63, 53, 58, 55, 64, 64, , , , , ,
188,10862, Delron Buckley,65, M,177, Left,0, 75, 64, 57, 68, 48, 56, , , , , ,
189,10863, Enzo Maresca,73, M,180, Right,1, 53, 75, 80, 72, 63, 49, , , , , ,
190,108658, Marco Streller,74, A,195, Left,1, 64, 64, 58, 73, 61, 73, , , , , ,
191,108734, Frankie Hejduk,62, D,173, Right,0, 70, 53, 51, 55, 63, 64, , , , , ,
192,108750, David Degen,68, M,185, Right,1, 82, 60, 63, 69, 59, 56, , , , , ,
193,108784, Wim De Decker,64, M,186, Right,0, 43, 52, 56, 50, 68, 69, , , , , ,
194,1088, Alessandro Nesta,85, D,187, Right,1, 54, 36, 58, 57, 83, 78, , , , , ,
195,10884, Michael Flynn,60, M,178, Right,0, 57, 58, 55, 56, 67, 65, , , , , ,
196,10899, Chris Porter,65, A,185, Right,0, 66, 62, 52, 59, 54, 71, , , , , ,
197,1092, Alan Murphy,56, A,174, Left,0, 59, 57, 54, 57, 41, 53, , , , , ,
198,109321, Christian Weber,64, D,175, Right,0, 70, 51, 60, 61, 65, 66, , , , , ,
199,109416, Alexandr Kerzhakov,82, A,176, Right,1, 87, 82, 74, 75, 55, 75, , , , , ,
200,109493, Bram Castro,65, GK,191, Right,0, , , , , , , 65, 65, 67, 66, 54,64.0
201,10959, Pablo Aimar,83, M,170, Right,1, 75, 73, 83, 86, 49, 62, , , , , ,
202,109693, Yakubu,73, A,183, Right,1, 67, 74, 57, 72, 57, 75, , , , , ,
203,109724, Peter Løvenkrands,71, A,180, Left,1, 69, 70, 75, 74, 54, 66, , , , , ,
204,109809, Youssef El-Akchaoui,66, D,174, Left,0, 65, 66, 68, 64, 66, 65, , , , , ,
205,109852, Gareth McAuley,69, D,191, Right,0, 55, 38, 52, 36, 73, 75, , , , , ,
206,1099, Marco Di Vaio,81, A,179, Right,0, 79, 78, 65, 77, 58, 73, , , , , ,
207,109910, Mark Wilson,73, D,178, Right,0, 72, 36, 67, 66, 71, 74, , , , , ,
208,109969, Juan Pablo,73, GK,187, Right,1, , , , , , , 77, 72, 69, 79, 55,68.0
209,109973, Ochoa,62, D,191, Left,0, 43, 41, 49, 41, 65, 60, , , , , ,
210,11, Romain Rocchi,67, M,183, Right,0, 61, 67, 65, 70, 61, 65, , , , , ,
211,110019, Dorado,73, D,180, Left,0, 59, 33, 55, 45, 72, 72, , , , , ,
212,110020, Pelegrín,70, D,184, Left,0, 53, 39, 50, 49, 73, 70, , , , , ,
213,110023, Generelo,67, M,183, Right,0, 57, 67, 71, 57, 67, 52, , , , , ,
214,110026, Cani,79, M,180, Right,0, 81, 74, 76, 81, 57, 59, , , , , ,
215,110082, Pinto,72, GK,185, Right,1, , , , , , , 78, 75, 78, 69, 43,68.0
216,110108, Luciano,62, D,184, Right,0, 45, 43, 56, 53, 65, 61, , , , , ,
217,110117, Borja Oubiña,64, M,181, Right,1, 57, 56, 67, 67, 52, 49, , , , , ,
218,110146, Dani Mallo,62, GK,186, Right,0, , , , , , , 66, 60, 55, 64, 41,57.0
219,1102, Carlo Cudicini,76, GK,185, Right,0, , , , , , , 74, 79, 69, 77, 42,76.0
220,110272, Josemi,68, D,182, Right,0, 73, 49, 66, 57, 72, 64, , , , , ,
221,110283, Duda,76, M,175, Left,1, 68, 77, 84, 74, 61, 60, , , , , ,
222,110291, Manolo,68, D,173, Right,0, 75, 50, 65, 59, 73, 66, , , , , ,
223,110297, Nacho,69, D,175, Left,0, 73, 55, 69, 68, 70, 60, , , , , ,
224,110301, Juanma,67, M,176, Right,0, 69, 60, 66, 67, 56, 52, , , , , ,
225,11031, Sylvain Wiltord,70, A,174, Right,0, 72, 68, 67, 70, 51, 67, , , , , ,
226,110363, Carlos García,69, D,184, Right,0, 46, 32, 52, 47, 73, 63, , , , , ,
227,110368, Edu Albácar,68, D,177, Left,0, 74, 65, 68, 65, 67, 63, , , , , ,
228,110371, Moises Hurtado,72, M,185, Right,1, 43, 50, 62, 52, 77, 63, , , , , ,
229,110375, Crusat,74, A,162, Left,1, 93, 62, 56, 77, 46, 53, , , , , ,
230,110376, Jonathan Soriano,74, A,180, Right,1, 74, 72, 59, 70, 52, 74, , , , , ,
231,110377, Corominas,68, A,171, Right,0, 78, 62, 54, 75, 50, 62, , , , , ,
232,110379, Tariq,65, A,183, Right,0, 41, 64, 40, 50, 54, 80, , , , , ,
233,110381, Maximiliano Rodríguez,78, A,180, Right,0, 70, 76, 76, 80, 60, 63, , , , , ,
234,110389, Carmelo,70, M,180, Right,0, 68, 59, 67, 77, 52, 54, , , , , ,
235,110402, Sergio,71, D,191, Right,1, 36, 44, 55, 50, 76, 69, , , , , ,
236,11044, Traianos Dellas,72, D,196, Right,1, 33, 49, 59, 38, 77, 69, , , , , ,
237,110525, Dele Adebola,64, A,191, Left,1, 34, 65, 50, 62, 58, 75, , , , , ,
238,11056, Grégory Proment,69, M,176, Right,0, 53, 63, 72, 53, 68, 58, , , , , ,
239,11061, Paolo Orlandoni,70, GK,186, Right,0, , , , , , , 72, 68, 64, 68, 51,75.0
240,110627, Jofre,67, M,171, Left,0, 71, 57, 60, 73, 43, 54, , , , , ,
241,110638, Alberto,64, GK,190, Right,1, , , , , , , 57, 68, 60, 61, 47,75.0
242,110652, Riera,77, A,188, Left,0, 77, 74, 75, 79, 58, 65, , , , , ,
243,110657, Güiza,74, A,180, Right,1, 73, 74, 56, 68, 50, 63, , , , , ,
244,110677, Moyá,75, GK,185, Right,0, , , , , , , 80, 69, 82, 79, 48,72.0
245,110691, Kike Mateo,66, M,176, Right,0, 63, 63, 60, 64, 62, 68, , , , , ,
246,110774, Rubén,74, D,187, Right,0, 55, 38, 62, 44, 75, 73, , , , , ,
247,110787, Borja,70, M,188, Right,0, 51, 66, 73, 54, 74, 65, , , , , ,
248,110810, Gaspar,65, D,182, Right,0, 49, 44, 54, 45, 69, 59, , , , , ,
249,110811, Mario,74, D,178, Left,1, 66, 46, 52, 48, 74, 81, , , , , ,
250,110842, Óscar,71, M,176, Right,1, 69, 72, 71, 68, 51, 62, , , , , ,
251,110852, De Lucas,73, M,175, Right,1, 72, 72, 77, 71, 50, 55, , , , , ,
252,110854, Aganzo,72, A,177, Left,1, 67, 66, 46, 69, 49, 84, , , , , ,
253,110879, Kevin Kyle,69, A,191, Right,0, 68, 67, 55, 61, 68, 71, , , , , ,
254,110880, Simon Ramsden,61, D,183, Right,0, 65, 42, 49, 55, 66, 66, , , , , ,
255,110907, Stefan Buck,64, D,189, Left,1, 61, 48, 52, 56, 68, 75, , , , , ,
256,110920, Alexander Schnetzler,61, D,173, Left,0, 68, 46, 58, 63, 57, 58, , , , , ,
257,110961, Aranburu,74, M,180, Left,0, 55, 67, 65, 59, 75, 64, , , , , ,
258,11097, Christian Timm,63, M,180, Right,1, 78, 59, 54, 68, 47, 60, , , , , ,
259,110974, Riesgo,73, GK,185, Right,1, , , , , , , 77, 72, 61, 72, 59,76.0
260,110979, Labaka,70, D,185, Right,0, 53, 50, 55, 51, 73, 73, , , , , ,
261,110984, Mikel Alonso,65, M,180, Right,0, 56, 61, 66, 57, 61, 56, , , , , ,
262,111008, Albelda,77, M,181, Right,0, 49, 64, 70, 63, 79, 62, , , , , ,
263,111022, David Navarro,74, D,183, Right,1, 65, 49, 62, 53, 76, 75, , , , , ,
264,111023, Garrido,74, D,180, Left,1, 72, 66, 72, 66, 71, 66, , , , , ,
265,111033, Tena,66, D,185, Right,0, 61, 41, 45, 49, 68, 79, , , , , ,
266,111038, Jandro,70, M,175, Right,0, 71, 68, 64, 68, 57, 62, , , , , ,
267,111040, Pablo Redondo,68, M,175, Right,0, 73, 62, 69, 68, 52, 56, , , , , ,
268,111041, Albiol,60, M,177, Right,0, 68, 45, 60, 60, 62, 54, , , , , ,
269,111083, Dani Bautista,65, D,177, Left,0, 75, 51, 65, 60, 66, 66, , , , , ,
270,111085, Abel,69, M,182, Right,0, 61, 67, 74, 62, 61, 54, , , , , ,
271,111091, Arteaga,65, A,167, Left,0, 76, 56, 61, 63, 47, 48, , , , , ,
272,111093, Reyes,85, A,176, Left,1, 88, 79, 78, 87, 47, 52, , , , , ,
273,111114, Javi Venta,71, D,180, Right,0, 66, 49, 68, 61, 72, 64, , , , , ,
274,111125, Oguchi Onyewu,73, D,194, Right,1, 50, 44, 49, 33, 81, 62, , , , , ,
275,111137, Martí,74, M,180, Right,1, 49, 67, 76, 67, 71, 63, , , , , ,
276,111163, Steeve Elana,76, GK,187, Right,0, , , , , , , 82, 78, 65, 79, 66,70.0
277,111172, Alexandre Alphonse,66, A,174, Right,0, 79, 65, 58, 74, 43, 60, , , , , ,
278,111195, Andreas Wolf,74, D,182, Right,0, 56, 47, 59, 40, 75, 74, , , , , ,
279,111206, Sascha Riether,76, D,174, Right,0, 77, 58, 74, 69, 72, 74, , , , , ,
