,mpg,displ,hp,weight,accel,origin,size
43,16.0,400.0,180,4220,11.1,US,20.0
44,29.9,98.0,65,2380,20.7,US,10.0
45,31.0,79.0,67,1950,19.0,Asia,10.0
46,27.2,119.0,97,2300,14.7,Asia,10.0
47,14.0,318.0,150,4457,13.5,US,20.0
48,32.1,98.0,70,2120,15.5,US,10.0
49,15.0,250.0,100,3336,17.0,US,15.0
50,12.0,383.0,180,4955,11.5,US,20.0
51,17.6,302.0,129,3725,13.4,US,20.0
52,25.0,113.0,95,2228,14.0,Asia,10.0
53,28.4,151.0,90,2670,16.0,US,10.0
54,29.0,98.0,83,2219,16.5,Europe,10.0
55,30.9,105.0,75,2230,14.5,US,10.0
56,20.0,232.0,100,2914,16.0,US,15.0
57,20.8,200.0,85,3070,16.7,US,15.0
58,22.0,232.0,112,2835,14.7,US,15.0
59,38.0,91.0,67,1965,15.0,Asia,10.0
60,31.0,71.0,65,1773,19.0,Asia,10.0
61,19.0,250.0,88,3302,15.5,US,15.0
62,16.0,250.0,100,3781,17.0,US,15.0
63,25.0,140.0,75,2542,17.0,US,10.0
64,22.0,225.0,100,3233,15.4,US,15.0
65,26.0,91.0,70,1955,20.5,US,10.0
66,13.0,350.0,145,4055,12.0,US,20.0
67,19.9,260.0,110,3365,15.5,US,20.0
68,11.0,318.0,210,4382,13.5,US,20.0
69,28.0,98.0,80,2164,15.0,US,10.0
70,15.5,318.0,145,4140,13.7,US,20.0
71,26.0,96.0,69,2189,18.0,Europe,10.0
72,14.0,318.0,150,4237,14.5,US,20.0
73,12.0,429.0,198,4952,11.5,US,20.0
74,24.2,146.0,120,2930,13.8,Asia,15.0
75,25.0,140.0,92,2572,14.9,US,10.0
76,22.5,232.0,90,3085,17.6,US,15.0
77,26.8,173.0,115,2700,12.9,US,15.0
78,23.0,198.0,95,2904,16.0,US,15.0
79,26.0,116.0,75,2246,14.0,Europe,10.0
80,30.7,145.0,76,3160,19.6,Europe,15.0
81,31.0,79.0,67,2000,16.0,Europe,10.0
82,27.2,141.0,71,3190,24.8,Europe,10.0
83,21.5,231.0,115,3245,15.4,US,15.0
84,29.0,135.0,84,2525,16.0,US,10.0
85,20.0,114.0,91,2582,14.0,Europe,10.0
86,13.0,350.0,150,4699,14.5,US,20.0
87,14.0,440.0,215,4312,8.5,US,20.0
88,38.0,91.0,67,1995,16.2,Asia,10.0
89,13.0,400.0,175,5140,12.0,US,20.0
90,24.5,98.0,60,2164,22.1,US,10.0
91,13.0,350.0,175,4100,13.0,US,20.0
92,25.0,181.0,110,2945,16.4,US,15.0
93,24.0,113.0,95,2278,15.5,Asia,10.0
94,34.1,91.0,68,1985,16.0,Asia,10.0
95,13.0,400.0,150,4464,12.0,US,20.0
96,44.6,91.0,67,1850,13.8,Asia,10.0
97,20.5,200.0,95,3155,18.2,US,15.0
98,18.0,258.0,110,2962,13.5,US,15.0
99,23.2,156.0,105,2745,16.7,US,10.0
100,20.0,130.0,102,3150,15.7,Europe,10.0
101,24.0,121.0,110,2660,14.0,Europe,10.0
102,25.5,140.0,89,2755,15.8,US,10.0
103,36.1,98.0,66,1800,14.4,US,10.0
104,23.0,120.0,88,2957,17.0,Europe,10.0
105,24.0,90.0,75,2108,15.5,Europe,10.0
106,18.0,250.0,78,3574,21.0,US,15.0
107,26.6,350.0,105,3725,19.0,US,20.0
108,32.0,85.0,70,1990,17.0,Asia,10.0
109,20.3,131.0,103,2830,15.9,Europe,12.5
110,27.0,97.0,60,1834,19.0,Europe,10.0
111,17.0,304.0,150,3672,11.5,US,20.0
112,21.0,140.0,72,2401,19.5,US,10.0
113,13.0,400.0,170,4746,12.0,US,20.0
114,24.0,107.0,90,2430,14.5,Europe,10.0
115,17.0,260.0,110,4060,19.0,US,20.0
116,39.1,79.0,58,1755,16.9,Asia,10.0
117,14.5,351.0,152,4215,12.8,US,20.0
118,13.0,350.0,145,3988,13.0,US,20.0
119,20.2,302.0,139,3570,12.8,US,20.0
120,27.0,101.0,83,2202,15.3,Europe,10.0
121,35.0,72.0,69,1613,18.0,Asia,10.0
122,15.0,318.0,150,3777,12.5,US,20.0
123,36.4,121.0,67,2950,19.9,Europe,12.5
124,30.0,111.0,80,2155,14.8,US,10.0
125,31.9,89.0,71,1925,14.0,Europe,10.0
126,26.0,97.0,46,1835,20.5,Europe,10.0
127,16.0,225.0,105,3439,15.5,US,15.0
128,20.0,140.0,90,2408,19.5,US,10.0
129,18.6,225.0,110,3620,18.7,US,15.0
130,14.0,400.0,175,4464,11.5,US,20.0
131,25.0,97.5,80,2126,17.0,US,10.0
132,33.0,105.0,74,2190,14.2,Europe,10.0
133,14.0,318.0,150,4096,13.0,US,20.0
134,18.5,360.0,150,3940,13.0,US,20.0
135,37.2,86.0,65,2019,16.4,Asia,10.0
136,18.0,232.0,100,3288,15.5,US,15.0
137,44.3,90.0,48,2085,21.7,Europe,10.0
138,18.0,250.0,105,3459,16.0,US,15.0
139,28.0,140.0,90,2264,15.5,US,10.0
140,43.4,90.0,48,2335,23.7,Europe,10.0
141,20.6,231.0,105,3380,15.8,US,15.0
142,19.2,231.0,105,3535,19.2,US,15.0
143,26.4,140.0,88,2870,18.1,US,10.0
144,18.0,232.0,100,2945,16.0,US,15.0
145,28.0,97.0,75,2155,16.4,Asia,10.0
146,26.0,121.0,113,2234,12.5,Europe,10.0
147,13.0,400.0,190,4422,12.5,US,20.0
148,25.8,156.0,92,2620,14.4,US,10.0
149,28.1,141.0,80,3230,20.4,Europe,10.0
150,13.0,350.0,165,4274,12.0,US,20.0
151,16.5,350.0,180,4380,12.1,US,20.0
152,31.5,89.0,71,1990,14.9,Europe,10.0
153,24.0,120.0,97,2489,15.0,Asia,10.0
154,15.0,250.0,72,3158,19.5,US,15.0
155,18.0,225.0,105,3613,16.5,US,15.0
156,33.5,151.0,90,2556,13.2,US,10.0
157,32.4,108.0,75,2350,16.8,Asia,10.0
158,27.0,97.0,88,2130,14.5,Asia,10.0
159,13.0,350.0,155,4502,13.5,US,20.0
160,31.0,91.0,68,1970,17.6,Asia,10.0
161,28.0,151.0,90,2678,16.5,US,10.0
162,27.2,135.0,84,2490,15.7,US,10.0
163,21.0,120.0,87,2979,19.5,Europe,10.0
164,19.0,121.0,112,2868,15.5,Europe,10.0
165,25.0,110.0,87,2672,17.5,Europe,10.0
166,23.0,350.0,125,3900,17.4,US,20.0
167,19.0,156.0,108,2930,15.5,Asia,15.0
168,15.5,351.0,142,4054,14.3,US,20.0
169,23.9,119.0,97,2405,14.9,Asia,10.0
170,22.0,250.0,105,3353,14.5,US,15.0
171,29.0,97.0,75,2171,16.0,Asia,10.0
172,14.0,302.0,137,4042,14.5,US,20.0
173,15.0,318.0,150,3399,11.0,US,20.0
174,27.0,112.0,88,2640,18.6,US,10.0
175,15.0,350.0,145,4440,14.0,US,20.0
176,30.5,98.0,63,2051,17.0,US,10.0
177,25.0,104.0,95,2375,17.5,Europe,10.0
178,17.5,305.0,140,4215,13.0,US,20.0
179,34.0,112.0,88,2395,18.0,US,10.0
180,38.0,262.0,85,3015,17.0,US,15.0
181,30.0,79.0,70,2074,19.5,Europe,10.0
182,19.8,200.0,85,2990,18.2,US,15.0
183,25.0,121.0,115,2671,13.5,Europe,10.0
184,21.0,122.0,86,2226,16.5,US,10.0
185,26.0,98.0,79,2255,17.7,US,10.0
186,16.5,168.0,120,3820,16.7,Europe,15.0
187,18.1,258.0,120,3410,15.1,US,15.0
188,46.6,86.0,65,2110,17.9,Asia,10.0
189,21.5,121.0,110,2600,12.8,Europe,10.0
190,14.0,454.0,220,4354,9.0,US,20.0
191,21.6,121.0,115,2795,15.7,Europe,10.0
192,15.5,350.0,170,4165,11.4,US,20.0
193,20.5,225.0,100,3430,17.2,US,15.0
194,23.9,260.0,90,3420,22.2,US,20.0
195,12.0,455.0,225,4951,11.0,US,20.0
196,20.2,200.0,85,2965,15.8,US,15.0
197,34.4,98.0,65,2045,16.2,US,10.0
198,23.0,120.0,97,2506,14.5,Asia,10.0
199,24.3,151.0,90,3003,20.1,US,10.0
200,19.0,232.0,90,3211,17.0,US,15.0
201,29.0,68.0,49,1867,19.5,Europe,10.0
202,23.5,173.0,110,2725,12.6,US,15.0
203,34.0,108.0,70,2245,16.9,Asia,10.0
204,37.0,119.0,92,2434,15.0,Asia,10.0
205,33.0,91.0,53,1795,17.5,Asia,10.0
206,18.0,232.0,100,2789,15.0,US,15.0
207,15.0,390.0,190,3850,8.5,US,20.0
208,34.7,105.0,63,2215,14.9,US,10.0
209,19.4,232.0,90,3210,17.2,US,15.0
210,32.0,91.0,67,1965,15.7,Asia,10.0
211,34.1,86.0,65,1975,15.2,Asia,10.0
212,33.7,107.0,75,2210,14.4,Asia,10.0
213,20.0,225.0,100,3651,17.7,US,15.0
214,15.0,258.0,110,3730,19.0,US,15.0
215,38.1,89.0,60,1968,18.8,Asia,10.0
216,26.0,108.0,93,2391,15.5,Asia,10.0
217,27.0,97.0,88,2100,16.5,Asia,10.0
218,16.0,318.0,150,4498,14.5,US,20.0
219,17.0,250.0,100,3329,15.5,US,15.0
220,13.0,318.0,150,3940,13.2,US,20.0
221,28.0,112.0,88,2605,19.6,US,10.0
222,14.0,455.0,225,3086,10.0,US,20.0
223,31.5,98.0,68,2045,18.5,Asia,10.0
224,34.5,105.0,70,2150,14.9,US,10.0
225,11.0,429.0,208,4633,11.0,US,20.0
226,16.0,250.0,105,3897,18.5,US,15.0
227,31.6,120.0,74,2635,18.3,Asia,10.0
228,19.1,225.0,90,3381,18.7,US,15.0
229,18.5,250.0,110,3645,16.2,US,15.0
230,15.0,250.0,72,3432,21.0,US,15.0
231,18.0,199.0,97,2774,15.5,US,15.0
232,35.0,122.0,88,2500,15.1,Europe,10.0
233,20.2,200.0,88,3060,17.1,US,15.0
234,13.0,302.0,129,3169,12.0,US,20.0
235,31.0,112.0,85,2575,16.2,US,10.0
236,22.0,122.0,86,2395,16.0,US,10.0
237,11.0,400.0,150,4997,14.0,US,20.0
238,33.5,85.0,70,1945,16.8,Asia,10.0
239,43.1,90.0,48,1985,21.5,Europe,10.0
240,25.4,183.0,77,3530,20.1,Europe,12.5
241,40.8,85.0,65,2110,19.2,Asia,10.0
242,14.0,400.0,175,4385,12.0,US,20.0
243,29.8,134.0,90,2711,15.5,Asia,10.0
244,16.0,318.0,150,4190,13.0,US,20.0
245,20.6,225.0,110,3360,16.6,US,15.0
246,18.0,307.0,130,3504,12.0,US,20.0
247,33.0,91.0,53,1795,17.4,Asia,10.0
248,31.8,85.0,65,2020,19.2,Asia,10.0
249,13.0,351.0,158,4363,13.0,US,20.0
250,20.0,198.0,95,3102,16.5,US,15.0
251,32.0,83.0,61,2003,19.0,Asia,10.0
252,13.0,440.0,215,4735,11.0,US,20.0
253,23.7,70.0,100,2420,12.5,Asia,7.5
254,19.2,305.0,145,3425,13.2,US,20.0
255,37.0,91.0,68,2025,18.2,Asia,10.0
256,18.0,318.0,150,3436,11.0,US,20.0
257,19.0,120.0,88,3270,21.9,Europe,10.0
258,32.3,97.0,67,2065,17.8,Asia,10.0
259,18.0,225.0,105,3121,16.5,US,15.0
260,13.0,360.0,175,3821,11.0,US,20.0
261,12.0,350.0,160,4456,13.5,US,20.0
262,36.0,105.0,74,1980,15.3,Europe,10.0
263,18.2,318.0,135,3830,15.2,US,20.0
264,19.0,232.0,100,2634,13.0,US,15.0
265,30.0,146.0,67,3250,21.8,Europe,10.0
266,15.0,429.0,198,4341,10.0,US,20.0
267,11.0,350.0,180,3664,11.0,US,20.0
268,10.0,360.0,215,4615,14.0,US,20.0
269,16.0,250.0,100,3278,18.0,US,15.0
270,14.0,455.0,225,4425,10.0,US,20.0
271,16.9,350.0,155,4360,14.9,US,20.0
272,13.0,360.0,170,4654,13.0,US,20.0
273,25.0,116.0,81,2220,16.9,Europe,10.0
274,21.0,200.0,85,2587,16.0,US,15.0
275,21.1,134.0,95,2515,14.8,Asia,10.0
276,26.0,122.0,80,2451,16.5,US,10.0
277,28.0,97.0,92,2288,17.0,Asia,10.0
278,29.0,90.0,70,1937,14.0,Europe,10.0
279,16.0,351.0,149,4335,14.5,US,20.0
280,26.6,151.0,84,2635,16.4,US,10.0
281,19.0,70.0,97,2330,13.5,Asia,7.5
282,32.8,78.0,52,1985,19.4,Asia,10.0
283,22.0,140.0,72,2408,19.0,US,10.0
284,19.0,122.0,85,2310,18.5,US,10.0
285,31.0,76.0,52,1649,16.5,Asia,10.0
286,23.0,115.0,95,2694,15.0,Europe,10.0
287,29.5,97.0,71,1825,12.2,Europe,10.0
288,17.5,318.0,140,4080,13.7,US,20.0
289,19.0,250.0,100,3282,15.0,US,15.0
290,24.0,134.0,96,2702,13.5,Asia,10.0
291,14.0,304.0,150,4257,15.5,US,20.0
292,28.0,90.0,75,2125,14.5,US,10.0
293,21.0,155.0,107,2472,14.0,US,15.0
294,22.4,231.0,110,3415,15.8,US,15.0
295,36.0,107.0,75,2205,14.5,Asia,10.0
296,18.0,171.0,97,2984,14.5,US,15.0
297,16.2,163.0,133,3410,15.8,Europe,15.0
298,39.4,85.0,70,2070,18.6,Asia,10.0
299,30.0,97.0,67,1985,16.4,Asia,10.0
300,18.0,121.0,112,2933,14.5,Europe,10.0
301,17.5,305.0,145,3880,12.5,US,20.0
302,28.8,173.0,115,2595,11.3,US,15.0
303,22.0,121.0,98,2945,14.5,Europe,10.0
304,34.2,105.0,70,2200,13.2,US,10.0
305,30.5,97.0,78,2190,14.1,Europe,10.0
306,16.0,400.0,230,4278,9.5,US,20.0
307,38.0,105.0,63,2125,14.7,US,10.0
308,41.5,98.0,76,2144,14.7,Europe,10.0
309,27.9,156.0,105,2800,14.4,US,10.0
310,22.0,198.0,95,2833,15.5,US,15.0
311,29.8,89.0,62,1845,15.3,Europe,10.0
312,17.7,231.0,165,3445,13.4,US,15.0
313,15.0,350.0,165,3693,11.5,US,20.0
314,14.0,340.0,160,3609,8.0,US,20.0
315,15.5,400.0,190,4325,12.2,US,20.0
316,17.5,258.0,95,3193,17.8,US,15.0
317,12.0,350.0,180,4499,12.5,US,20.0
318,29.0,97.0,78,1940,14.5,Europe,10.0
319,15.5,304.0,120,3962,13.9,US,20.0
320,35.7,98.0,80,1915,14.4,US,10.0
321,26.0,97.0,75,2265,18.2,Asia,10.0
322,30.0,98.0,68,2155,16.5,US,10.0
323,33.8,97.0,67,2145,18.0,Asia,10.0
324,18.0,225.0,95,3785,19.0,US,15.0
325,13.0,302.0,140,4294,16.0,US,20.0
326,20.0,262.0,110,3221,13.5,US,20.0
327,32.4,107.0,72,2290,17.0,Asia,10.0
328,16.0,304.0,150,3433,12.0,US,20.0
329,27.5,134.0,95,2560,14.2,Asia,10.0
330,23.0,97.0,54,2254,23.5,Europe,10.0
331,14.0,351.0,153,4129,13.0,US,20.0
332,17.0,305.0,130,3840,15.4,US,20.0
333,16.0,400.0,170,4668,11.5,US,20.0
334,23.0,122.0,86,2220,14.0,US,10.0
335,24.0,119.0,97,2545,17.0,Asia,10.0
336,27.0,151.0,90,2735,18.0,US,10.0
337,15.0,350.0,145,4082,13.0,US,20.0
338,27.0,140.0,86,2790,15.6,US,10.0
339,28.0,120.0,79,2625,18.6,US,10.0
340,14.0,350.0,165,4209,12.0,US,20.0
341,33.5,98.0,83,2075,15.9,US,10.0
342,39.0,86.0,64,1875,16.4,US,10.0
343,24.0,140.0,92,2865,16.4,US,10.0
344,26.5,140.0,72,2565,13.6,US,10.0
345,19.4,318.0,140,3735,13.2,US,20.0
346,15.0,318.0,150,4135,13.5,US,20.0
347,25.5,122.0,96,2300,15.5,US,10.0
348,14.0,304.0,150,3672,11.5,US,20.0
349,27.4,121.0,80,2670,15.0,US,10.0
350,13.0,302.0,130,3870,15.0,US,20.0
351,19.0,225.0,100,3630,17.7,US,15.0
352,17.0,163.0,125,3140,13.6,Europe,15.0
353,28.0,116.0,90,2123,14.0,Europe,10.0
354,22.0,108.0,94,2379,16.5,Asia,10.0
355,30.0,88.0,76,2065,14.5,Europe,10.0
356,18.0,70.0,90,2124,13.5,Asia,7.5
357,14.0,318.0,150,4077,14.0,US,20.0
358,22.0,146.0,97,2815,14.5,Asia,15.0
359,23.8,151.0,85,2855,17.6,US,10.0
360,24.0,200.0,81,3012,17.6,US,15.0
361,26.0,97.0,78,2300,14.5,Europe,10.0
362,26.0,97.0,46,1950,21.0,Europe,10.0
363,30.0,135.0,84,2385,12.9,US,10.0
364,29.0,90.0,70,1937,14.2,Europe,10.0
365,14.0,351.0,153,4154,13.5,US,20.0
366,25.4,168.0,116,2900,12.6,Asia,15.0
367,19.0,232.0,100,2901,16.0,US,15.0
368,12.0,400.0,167,4906,12.5,US,20.0
369,20.0,97.0,88,2279,19.0,Asia,10.0
370,27.0,97.0,88,2130,14.5,Asia,10.0
371,22.3,140.0,88,2890,17.3,US,10.0
372,10.0,307.0,200,4376,15.0,US,20.0
373,19.2,267.0,125,3605,15.0,US,20.0
374,26.0,156.0,92,2585,14.5,US,10.0
375,16.0,258.0,110,3632,18.0,US,15.0
376,37.3,91.0,69,2130,14.7,Europe,10.0
377,26.0,79.0,67,1963,15.5,Europe,10.0
378,20.2,232.0,90,3265,18.2,US,15.0
379,13.0,318.0,150,3755,14.0,US,20.0
380,21.0,199.0,90,2648,15.0,US,15.0
381,25.0,90.0,71,2223,16.5,Europe,10.0
382,20.5,231.0,105,3425,16.9,US,15.0
383,37.7,89.0,62,2050,17.3,Asia,10.0
384,36.0,120.0,88,2160,14.5,Asia,10.0
385,20.0,156.0,122,2807,13.5,Asia,15.0
386,37.0,85.0,65,1975,19.4,Asia,10.0
387,18.0,250.0,88,3021,16.5,US,15.0
388,27.0,151.0,90,2950,17.3,US,10.0
389,29.5,98.0,68,2135,16.6,Asia,10.0
390,17.5,250.0,110,3520,16.4,US,15.0
391,25.1,140.0,88,2720,15.4,US,10.0
