,republican,n,y,n.1,y.1,y.2,y.3,n.2,n.3,n.4,y.4,?,y.5,y.6,y.7,n.5,y.8
83,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
84,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
85,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
86,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
87,democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
88,republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?
89,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
90,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
91,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y
92,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
93,democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
94,democrat,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y
95,democrat,n,n,?,n,y,y,n,n,n,n,y,y,y,y,n,y
96,democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
97,democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
98,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n
99,democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
100,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
101,democrat,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?
102,democrat,y,n,n,n,y,y,?,n,?,n,n,n,n,y,?,n
103,democrat,?,?,?,?,n,y,y,y,y,y,?,n,y,y,n,?
104,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
105,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
106,republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?
107,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
108,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
109,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
110,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
111,democrat,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?
112,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
113,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
114,democrat,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y
115,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
116,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
117,democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
118,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
119,republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y
120,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
121,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
122,republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y
123,democrat,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
124,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
125,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
126,democrat,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y
127,democrat,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y
128,democrat,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?
129,democrat,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?
130,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
131,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?
132,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
133,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
134,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
135,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
136,democrat,n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y
137,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
138,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
139,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
140,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y
141,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
142,democrat,?,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
143,democrat,n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?
144,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y
145,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
146,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
147,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
148,democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
149,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
150,democrat,y,y,?,y,y,y,n,n,y,n,y,?,y,y,n,n
151,democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
152,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
153,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
154,republican,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n
155,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
156,democrat,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?
157,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
158,democrat,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?
159,democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
160,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
161,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
162,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
163,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?
164,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?
165,republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
166,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
167,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?
168,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
169,democrat,y,n,y,n,n,n,?,y,y,?,n,n,n,n,y,?
170,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
171,democrat,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y
172,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
173,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
174,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
175,republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
176,democrat,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y
177,democrat,?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?
178,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
179,democrat,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?
180,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
181,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
182,democrat,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?
183,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
184,democrat,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y
185,democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
186,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
187,republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?
188,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
189,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?
190,republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?
191,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
192,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
193,democrat,n,n,y,n,n,y,y,?,y,y,y,n,n,n,y,y
194,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
195,democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,?
196,republican,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y
197,democrat,n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?
198,democrat,y,y,n,n,n,n,y,y,?,n,y,n,n,n,y,?
199,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
200,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
201,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
202,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
203,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
204,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
205,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
206,republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y
207,democrat,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y
208,democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
209,democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
210,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
211,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
212,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
213,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
214,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,?
215,democrat,y,y,y,n,y,y,n,n,?,y,n,n,n,y,y,?
216,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
217,democrat,y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?
218,democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
219,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
220,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?
221,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?
222,republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
223,republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n
224,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y
225,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
226,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y
227,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y
228,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
229,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
230,republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
231,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?
232,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
233,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,?
234,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
235,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
236,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
237,democrat,y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?
238,republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
239,republican,n,n,n,y,n,y,y,?,y,n,n,y,y,y,n,y
240,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
241,republican,n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y
242,democrat,n,y,y,n,n,n,y,y,?,y,n,n,y,n,y,y
243,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
244,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
245,democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y
246,republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n
247,republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
248,democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y
249,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
250,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
251,democrat,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
252,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
253,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
254,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
255,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
256,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y
257,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
258,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
259,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
260,democrat,y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?
261,democrat,y,n,y,n,n,n,y,y,y,y,n,n,?,n,y,y
262,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
263,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
264,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
265,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
266,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
267,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
268,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
269,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
270,democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y
271,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?
272,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y
273,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
274,democrat,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n
275,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
276,republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
277,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
278,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
279,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
280,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,?
281,republican,y,n,n,y,y,y,n,n,n,y,n,?,y,y,n,n
282,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
283,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,?,y
284,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
285,democrat,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?
286,democrat,y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y
287,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
288,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?
289,democrat,y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y
290,democrat,y,n,y,n,n,y,y,y,y,y,n,?,n,y,n,y
291,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
292,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
293,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?
294,republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?
295,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
296,democrat,y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?
297,democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
298,democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
299,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
300,democrat,n,n,?,n,n,y,y,y,y,n,n,n,n,n,y,y
301,republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
302,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
303,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?
304,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
305,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
306,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?
307,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
308,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
309,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
310,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
311,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
312,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
313,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
314,republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?
315,democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
316,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
317,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
318,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
319,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
320,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
321,democrat,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?
322,democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?
323,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
324,democrat,n,y,n,n,y,y,n,n,?,n,n,y,y,y,n,y
325,democrat,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
326,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
327,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
328,democrat,y,?,y,n,n,y,y,y,y,y,n,n,n,n,y,?
329,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
330,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
331,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?
332,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
333,democrat,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y
334,republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?
335,democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y
336,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
337,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
338,republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
339,republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
340,democrat,n,?,y,?,n,y,y,y,y,y,y,n,?,?,y,y
341,democrat,n,y,y,n,y,?,y,n,n,y,y,n,y,n,y,y
342,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
343,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
344,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
345,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
346,republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
347,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?
348,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
349,democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
350,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
351,democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,?
352,republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
353,democrat,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y
354,republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
355,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
356,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
357,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,?
358,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y
359,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
360,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,?
361,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
362,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
363,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
364,democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
365,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?
366,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?
367,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
